Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.81808743712764E-07,3.51671016444836E-06,0.0190202699281045,0,0,0,0.600113797127881,0.00142272100149643,-1.85277151322222E-08,2.64056318979838E-09,0.00138396704972103,-9.69105232522063E-08,0.00267252083564978,0,0,0,0,0,0,package://dai_ngha/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dai_ngha/meshes/base_link.STL,,7Dof_v2.STEP-1/ALUM_Base.STEP-1;7Dof_v2.STEP-1/Base.STEP-1;7Dof_v2.STEP-1/dm_4340P_2025.STEP-1,Base_Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-2.2477756428399E-05,-0.00342277751368852,0.0347396855378943,0,0,0,0.178697154740353,7.96309050443453E-05,-2.54439484952743E-08,2.98282673318339E-08,9.4736554814759E-05,-6.46793818611851E-06,7.81568176721272E-05,0,0,0,0,0,0,package://dai_ngha/meshes/Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dai_ngha/meshes/Link_1.STL,,7Dof_v2.STEP-1/Base_Linkage.STEP-1;7Dof_v2.STEP-1/dm_4340P_2025.STEP-2,frame_1,joint_1_axis,joint_1,continuous,0,0,0.0765,0,0,0,base_link,0,0,1,,,,,,,,,,,,
Link_2,-2.7914E-05,-0.11632,-0.022885,0,0,0,0.34816,0.00047703,2.1797E-08,1.9052E-08,0.00014455,-3.8778E-06,0.0005258,0,0,0,0,0,0,package://dai_ngha/meshes/Link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dai_ngha/meshes/Link_2.STL,,7Dof_v2.STEP-1/J1_Connector.STEP-1;7Dof_v2.STEP-1/J1_cover_L_v2.STEP-1;7Dof_v2.STEP-1/J1_cover_R_v2.STEP-1;7Dof_v2.STEP-1/J2_Holder.STEP-1;7Dof_v2.STEP-1/dm_4340P_2025.STEP-3,frame_2,joint_2_axis,joint_2,revolute,0,0.03075,0.038650000000001,-1.5707963267949,0,0,Link_1,0,0,-1,0,0,-1.6,1.6,,,,,,,,
Link_3,-2.31620045713227E-05,0.00291620182584881,0.0367793083249756,0,0,0,0.179708765579509,8.11986589249463E-05,3.01909386152205E-08,1.16493656190123E-08,9.6792174631344E-05,6.76085661994497E-06,7.86981834616822E-05,0,0,0,0,0,0,package://dai_ngha/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dai_ngha/meshes/Link_3.STL,,7Dof_v2.STEP-1/J3_Holder.STEP-1;7Dof_v2.STEP-1/dm_4340P_2025.STEP-4,frame_3,joint_3_axis,joint_3,continuous,0,-0.18905,-0.041900000000001,1.5707963267949,0,0,Link_2,0,0,-1,,,,,,,,,,,,
Link_4,2.2413E-06,0.059721,-0.0292,0,0,0,0.21177,0.00011653,-4.5485E-09,-9.593E-08,9.6346E-05,4.4966E-06,0.00013271,0,0,0,0,0,0,package://dai_ngha/meshes/Link_4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dai_ngha/meshes/Link_4.STL,,7Dof_v2.STEP-1/J4_cover_v1.STEP-1;7Dof_v2.STEP-1/J4_Connector.STEP-1;7Dof_v2.STEP-1/J4_Holder.STEP-1;7Dof_v2.STEP-1/DM-J4310_P.STEP-1,frame_4,joint_4_axis,joint_4,revolute,0,-0.031249999999999,0.040949999999996,1.5707963267949,0,0,Link_3,0,0,-1,0,0,-1.6,1.6,,,,,,,,
Link_5,-0.00177236610278825,2.15573217141399E-06,0.0417626638216542,0,0,0,0.159080450324479,5.68633221125463E-05,-7.50367675827251E-10,-5.82928470334021E-07,7.16891900105115E-05,-2.69254178738848E-08,6.77400749459846E-05,0,0,0,0,0,0,package://dai_ngha/meshes/Link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dai_ngha/meshes/Link_5.STL,,7Dof_v2.STEP-1/J6_Holder v2.STEP-1;7Dof_v2.STEP-1/DM-J4310-2EC.STEP-1;7Dof_v2.STEP-1/J6_connect_v1.STEP-1,frame_5,joint_5_axis,joint_5,continuous,0,0.0975,-0.0424,-1.5707963267949,0,0,Link_4,0,0,-1,,,,,,,,,,,,
Link_6,0.00084798203862803,-4.04852802771138E-05,-0.0420607967702521,0,0,0,0.11559940108317,4.28941921288095E-05,-6.47460774931633E-08,-3.71302836909703E-08,3.30046765184132E-05,-1.41408977961401E-07,3.33181232072131E-05,0,0,0,0,0,0,package://dai_ngha/meshes/Link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dai_ngha/meshes/Link_6.STL,,7Dof_v2.STEP-1/DM-J4310-2EC.STEP-2;7Dof_v2.STEP-1/J7_Holder_v1_L.STEP-2;7Dof_v2.STEP-1/J7_bottom_connect.STEP-1;7Dof_v2.STEP-1/J7_Holder_v1_L.STEP-1,frame_6_passive,joint_6_passive_axis,joint_6,revolute,0.042,0,0.11462,-1.5708,0,-1.5708,Link_5,0,0,-1,0,0,-0.48,0.26,,,,,,,,
Link_7,0.0138328668671853,-0.000452275553507228,-0.0271406935403273,0,0,0,0.0203505291849234,1.2411940280184E-06,1.47112814748753E-07,-1.95103148451751E-07,5.76028029392945E-06,6.49490745197324E-09,6.74522841257578E-06,0,0,0,0,0,0,package://dai_ngha/meshes/Link_7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dai_ngha/meshes/Link_7.STL,,7Dof_v2.STEP-1/J7_Connector_bottom.STEP-1;7Dof_v2.STEP-1/J7_Connector.STEP-1,frame_7,joint_7_axis,joint_7,revolute,0.0335,-0.00015003,-0.042,-1.5708,0,-1.5708,Link_6,-0.0044784,0,-0.99999,0,0,-1.6,1.6,,,,,,,,
ee,-0.00297909515214045,-9.67727459468687E-05,-1.33416526672796E-05,0,0,0,0.0119347262769104,3.96584433984964E-06,5.7967880279897E-08,9.43233835191533E-09,2.18322486775653E-06,2.59604774289605E-10,1.85971321951525E-06,0,0,0,0,0,0,package://dai_ngha/meshes/ee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dai_ngha/meshes/ee.STL,,7Dof_v2.STEP-1/J7_Connector_top.STEP-1,ee_frame,,fix,fixed,0.049823,-0.0016233,-0.033723,3.1416,0,0,Link_7,0,0,0,,,,,,,,,,,,
